GoalID,Metric Class,Metric Source,Metric Name,Metric Value,Timestamp
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00397153,387.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00446486,387.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00585439,387.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-2.44145,387.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38127,387.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.4851,387.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00175495,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.034158,388.2
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.34
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.34
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.34
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00444487,387.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.0048686,387.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00614824,387.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-2.34452,387.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38156,387.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.48519,387.3
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00373557,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0692408,388.3
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.44
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.44
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.44
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00507586,387.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00512165,387.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00669171,387.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-2.22402,387.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38141,387.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.48009,387.4
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0.00285007,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0522473,388.4
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.53
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.53
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.53
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.0055169,387.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00530057,387.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00667713,387.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-2.08818,387.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38002,387.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47963,387.5
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0.00121449,388.5
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0237317,388.5
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.63
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.63
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.63
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00554013,387.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00563867,387.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00581875,387.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-1.93684,387.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.37363,387.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47563,387.6
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00026816,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.00499477,388.6
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.73
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.73
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.73
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00569682,387.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00604236,387.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00488665,387.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-1.77115,387.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38069,387.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.48237,387.7
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00290609,388.7
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0600975,388.7
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.83
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.83
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.83
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00532017,387.8
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00660586,387.8
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.004006,387.8
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-1.58349,387.8
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38239,387.8
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47993,387.8
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0.00208554,388.8
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0365142,388.8
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,387.93
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,387.93
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,387.93
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00570186,387.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00737005,387.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00351076,387.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-1.38275,387.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.37948,387.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47879,387.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00180932,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0307444,388.9
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.03
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.03
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.03
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00692431,388
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00675274,388
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00320958,388
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-1.16949,388
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.37383,388
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47768,388
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00414444,389
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0711169,389
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.13
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.13
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.13
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00922542,388.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.0086311,388.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00343087,388.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.951486,388.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.37394,388.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.48234,388.1
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0.00550865,389.1
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.103366,389.1
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.23
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.23
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.23
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.0101344,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00923641,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00376472,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.786813,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.38086,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47886,388.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00282718,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0533913,389.2
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.33
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.33
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.33
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.0106063,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00933824,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00409016,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.672789,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.39301,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.47041,388.3
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00347581,389.3
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0664975,389.3
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.43
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.43
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.43
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.0109586,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00922731,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00406384,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.603064,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.40816,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.4533,388.4
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0.00222518,389.4
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0385445,389.4
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.53
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.53
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.53
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,389.5
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.63
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.63
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.63
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00936498,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00760456,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00336227,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.556027,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.43815,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.40228,388.6
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00922583,389.6
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.164873,389.6
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.73
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.73
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.73
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,389.7
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.83
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.83
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.83
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,389.8
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,389.8
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,388.93
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,388.93
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,388.93
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00894764,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00742641,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00304926,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.491944,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.50572,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.29031,388.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.00456783,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.0845952,389.9
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.02
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.02
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.02
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,390
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,390
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.12
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.12
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.12
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,390.1
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.22
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.22
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.22
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.0088857,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00767578,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00331883,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.4333,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.56262,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.17082,389.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-3.41658e-05,390.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.00272035,390.2
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.32
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.32
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.32
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,390.3
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,390.3
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.42
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.42
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.42
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,390.4
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.52
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.52
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.52
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,0.00825391,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,0.00802661,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,0.00335446,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-0.422923,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-2.61364,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,-7.05732,389.5
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.0169711,390.5
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0.3015,390.5
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.62
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.62
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.62
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.63
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.63
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.63
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,390.6
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,390.6
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.72
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.72
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.72
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.82
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.82
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.82
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,389.92
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,389.92
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,389.92
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,6.86265,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,7.9843,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,28.2674,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-3.12211,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-0.595695,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,0.279967,389.7
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-2.70492,390.7
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,27.5977,390.7
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,390.8
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,390.8
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,390.02
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,390.02
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,390.02
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,390.12
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,390.12
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,390.12
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,5.63095,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,7.96769,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,28.2539,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-2.97887,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-0.57535,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,0.579227,389.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0.0827269,390.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,1.71835,390.9
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,391
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,391
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,390.22
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,390.22
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,390.22
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,390.32
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,390.32
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,390.32
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,4.76876,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,7.98463,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,27.6853,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,-3.13559,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-0.635356,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,0.904651,390.1
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.207476,391.1
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,3.45109,391.1
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,391.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,391.2
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,0,391.3
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Linear,0,391.3
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,390.42
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,390.42
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,390.42
cecfd21245fbcd4022a7da17834662bb,Input Validity,Lidar,Lidar Rate,10,390.52
cecfd21245fbcd4022a7da17834662bb,Input Validity,Odometry,Odometry Rate,50,390.52
cecfd21245fbcd4022a7da17834662bb,Input Validity,TF,TF Rate,10,390.52
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYawYaw,4.81953,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovYY,7.99779,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,CovXX,27.3901,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanYaw,3.12111,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanY,-0.639193,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Quality,AMCLPose,MeanX,1.08471,390.4
cecfd21245fbcd4022a7da17834662bb,Localization Stability,TF,Jump Angular,-0.0652772,391.4
